t,P00,P11,P01,P10
0.0095,0.6300151353258869,0.24964901440789403,0.06016802726564823,0.06016782300057078
0.009600000000000001,0.6583871973018767,0.22096162531924074,0.06032568308790985,0.060325494290972795
0.0097,0.674753123644546,0.20467674573607678,0.060285141559330235,0.06028498906004694
0.0098,0.6784308418296331,0.20135308463385146,0.060108085969162825,0.06010798756735275
0.0099,0.6694080669126744,0.21086946967463735,0.05986124772148978,0.05986121569119824
0.01,0.6483376990484291,0.23244894254061774,0.05960665981308938,0.05960669859786375
0.010100000000000001,0.6164971498061775,0.2647146900101588,0.05939402705899662,0.059394133124666966
0.0102,0.5757133014815071,0.3057734893291731,0.05925652340091472,0.059256685788404935
0.0103,0.5282572632033465,0.3533216155788972,0.059210459514242475,0.05921066170351381
0.010400000000000001,0.47671518578903643,0.4047676870278968,0.059258452443071846,0.05925867473999484
0.0105,0.42384310684024096,0.457366692579385,0.05939498837776228,0.05939521220261194
0.0106,0.37241485834141774,0.508359298123615,0.05961281683488515,0.05961302670008204
0.010700000000000001,0.325072368968984,0.5551104209615746,0.05990851231513997,0.0599086977543014
0.0108,0.2841872142907825,0.5952409662765773,0.06028583189769918,0.06028598753494107
0.0109,0.2517411230620309,0.6267466615735302,0.06075604493888497,0.06075617042555388
0.011000000000000001,0.2292314353629735,0.6480980782327189,0.061335193849096664,0.061335292555210696
0.0111,0.2176055608441831,0.658316440593711,0.06203896069331186,0.06203903786879401
0.0112,0.2172264260151563,0.6570206981090988,0.06287641326348009,0.0628764626122645
0.011300000000000001,0.22786900852003325,0.6444426539884895,0.06384415419138745,0.0638441833000896
0.0114,0.248746398936316,0.6214086877239151,0.06492245225552033,0.06492246108424839
0.0115,0.2785626967025877,0.5892886232929877,0.06607434706642297,0.06607433293800126
0.011600000000000001,0.3155889886665003,0.5499145046458342,0.06724827421832452,0.06724823246934117
0.0117,0.35775820855903345,0.5054741116314353,0.06838387693814083,0.06838380287139018
0.0118,0.4027742594273993,0.4583858150698877,0.06942001736186448,0.06941990814084849
0.0119,0.4482304576679298,0.41116267210648644,0.07030350687401321,0.0703033633515704
0.012,0.4917321425502916,0.366274192909806,0.07099691830337168,0.07099674623653067
0.012100000000000001,0.5310180907546457,0.32601421977550854,0.07148393959504652,0.07148374987479907
0.0122,0.5640752296687598,0.2923824315289345,0.07177126545658084,0.07177107334572477
0.0123,0.5892409555139269,0.26698579753750085,0.07188671170871842,0.07188653523985405
0.012400000000000001,0.6052876922938005,0.25096442741913877,0.07187401134568798,0.07187386894137246
0.0125,0.6114848360141318,0.244944742127019,0.07178525676536142,0.07178516509348798
0.0126,0.6076340269872712,0.24902069520402956,0.07167265321269094,0.07167262459600814
0.012700000000000001,0.5940753403281236,0.26276251101332804,0.07158105419051068,0.07158109446803754
0.0128,0.5716633575668068,0.2852509627543798,0.07154278600852533,0.07154289367028818
0.0129,0.5417143862678216,0.31513451116256064,0.0715754680196874,0.07157563454993036
0.013000000000000001,0.5059278250327182,0.3507055636529075,0.07168319988916454,0.07168341142521005
0.0131,0.46628676422921655,0.3899923134899087,0.07186034129623993,0.071860580984635
0.0132,0.4249441071162802,0.4308616593683391,0.07209699153395119,0.07209724198142961
0.013300000000000001,0.3841015845958196,0.4711289212412334,0.0723846242793478,0.0723848698835995
0.0134,0.34588919565508935,0.5086694681887169,0.072720553767648,0.07272078238854578
0.0135,0.3122523484597583,0.5415274389207034,0.07311000427177303,0.07311020834776545
0.013600000000000001,0.28485288484838794,0.568016143753125,0.07356539779327463,0.07356557360521226
0.0137,0.26498874302850667,0.5868049438375721,0.07410308358027329,0.07410322955364768
0.013800000000000002,0.2535360438203589,0.5969878394846123,0.07473799991183838,0.07473811678319046
0.013900000000000001,0.250914776640749,0.5981292659575118,0.07547793869209296,0.07547801870964638
0.014,0.2570787558970283,0.5902840098919512,0.07631859214573164,0.07631864206528881
0.014100000000000001,0.2715289021420755,0.5739896356701745,0.07724072239317174,0.07724073979457834
0.0142,0.293347934661046,0.5502313560233163,0.0782103642039738,0.07821034511166397
0.0143,0.32125425139868846,0.520381569874252,0.07918211943258666,0.07918205929447307
0.014400000000000001,0.3536719949627396,0.48611778630105956,0.08010516173473997,0.08010505700146094
0.0145,0.3888142361143287,0.4493244564341932,0.08093072894403752,0.08093057850744069
0.0146,0.4247755995209763,0.4119850820902502,0.08161975547497646,0.08161956291379718
0.014700000000000001,0.4596305688485175,0.376071682163488,0.08214898736710627,0.08214876162088847
0.0148,0.4915330502993999,0.34343839958363476,0.08251439702729844,0.0825141530896668
0.0149,0.518812423195282,0.31572523373000794,0.08273129319406801,0.0827310498806421
0.015000000000000001,0.5400611467655589,0.2942769940327463,0.08283104091503933,0.08283081828665548
0.0151,0.5542090204720425,0.28008102692294023,0.08285506787682752,0.08285488472819001
0.0152,0.5605792339480185,0.27372561171826476,0.08284764097355496,0.08284751336016187
0.015300000000000001,0.5589227098166626,0.27538011961786624,0.08284861608399947,0.08284855448147183
0.0154,0.5494280053640572,0.2847962173293766,0.08288788466716536,0.08288789263940072
0.0155,0.5327059583301987,0.301329240632206,0.08298236343044176,0.08298243760715354
0.015600000000000001,0.5097498784335384,0.3239777481111801,0.08313612140668505,0.08313625204859665
0.015700000000000002,0.48187396101160274,0.35143918380626804,0.0833433412716504,0.08334351391047866
0.0158,0.45063429451155307,0.38217901910435204,0.08359324384986609,0.08359344253422878
0.0159,0.4177378366866465,0.41451076177972884,0.0838755960178991,0.08387580551572538
0.016,0.38494551211682904,0.4466833351270589,0.0841854724301633,0.0841856803259488
0.0161,0.3539756231540426,0.4769720387322847,0.08452606872789856,0.08452626938577425
0.0162,0.3264132115522378,0.503769105258608,0.08490874711437757,0.0849089360747768
0.016300000000000002,0.30363004295076645,0.5256688426843255,0.0853504680430095,0.08535064632189863
0.0164,0.28671923913347175,0.5415427085323145,0.0858689406296874,0.08586911170452644
0.0165,0.276446413665587,0.5505995563815438,0.08647693131228584,0.08647709864058316
0.0166,0.27321884490752535,0.5524271402624892,0.08717692540401706,0.08717708942596858
0.0167,0.2770728119314923,0.5470116017047985,0.08795771461645151,0.08795787174725768
0.016800000000000002,0.2876788573068407,0.5347336900793623,0.08879365553470833,0.08879379707908878
0.016900000000000002,0.30436404667608075,0.5163419554860316,0.08964694232699728,0.08964705551089039
0.017,0.3261495066735046,0.49290443580987586,0.09047299406857781,0.09047306344804175
0.0171,0.35180262948147273,0.46574303189311944,0.09122716422113943,0.09122717440426843
0.0172,0.37990108814006907,0.4363544691586772,0.0918722519678307,0.09187219073342312
0.0173,0.4089066596138314,0.4063241826799198,0.09238464860742078,0.09238450909882806
0.017400000000000002,0.437245991404641,0.37723838709825896,0.0927579187095377,0.09275770278756217
0.0175,0.4633939048994842,0.3505991543125114,0.09300361082658479,0.09300332996141959
0.0176,0.48595566628698705,0.3277482308376126,0.09314821443882845,0.0931478884365719
0.0177,0.5037426864649585,0.3098016154974665,0.09322802145348226,0.09322767658409252
0.0178,0.5158377041812938,0.2975988046509933,0.09328191296147194,0.09328157820624128
0.0179,0.5216441808506127,0.29166681068385153,0.09334465226994247,0.09334435619559306
0.018000000000000002,0.5209171408457934,0.2922001856434034,0.09344145354579876,0.09344121996500476
0.0181,0.5137725636390843,0.2990573627424997,0.09358511375572635,0.09358495986268976
0.0182,0.5006756988415597,0.31177236106794853,0.09377600360460396,0.09377593648588782
0.0183,0.482408424896955,0.3295810340284136,0.09400526203193947,0.09400527904269204
0.0184,0.46001860902368175,0.3514616135841956,0.09425984366063186,0.09425993373149076
0.018500000000000003,0.4347561421115427,0.37618800439195754,0.09452785384932873,0.09452799964717117
0.018600000000000002,0.40799921874265704,0.40239303946129584,0.09480378032599522,0.0948039614700519
0.0187,0.3811764805125987,0.4286410346001332,0.09509114402607732,0.09509134086119074
0.0188,0.35569011581777465,0.4535040134117214,0.09540283710010443,0.09540303367039947
0.0189,0.3328435785353381,0.475639823116796,0.0957582053318042,0.09575839301606186
0.019,0.31377707800889193,0.49386554956020196,0.09617859237849873,0.09617878005240765
0.019100000000000002,0.2994142388551874,0.5072232556463081,0.09668116179690715,0.09668134370159734
0.019200000000000002,0.29042061182559836,0.5150322747121544,0.09727347303525374,0.09727364042699346
0.0193,0.2871752967454776,0.5169251137245132,0.09794971713890024,0.09794987239110896
0.0194,0.28975645466952465,0.5128644208807299,0.09868949200129355,0.09868963244845229
0.0195,0.2979404604519286,0.503139643764948,0.09945988677249915,0.09946000901062411
0.0196,0.3112149667559698,0.4883442253602172,0.10022035287300923,0.10022045501080391
0.019700000000000002,0.3288060672136682,0.4693358721346398,0.1009289941109181,0.10092906654077397
0.0198,0.3497176966075766,0.44718223487234254,0.10155001907125694,0.10155004944882405
0.0199,0.3727836712771549,0.42309735867156295,0.1020594945903277,0.10205947546095445
0.02,0.39672932632115054,0.39837257633181977,0.10244908597881915,0.10244901136821052
0.0201,0.42024023965026897,0.3743061149254552,0.10272688658342106,0.10272675884085485
0.020200000000000003,0.44203443391692243,0.3521359561914139,0.10291489098506847,0.10291471890659518
0.020300000000000002,0.4609337716830469,0.3329783276084537,0.10304405073651486,0.1030438499719845
0.0204,0.47592962581750653,0.3177745786385917,0.10314800052296023,0.10314779502094164
0.0205,0.4862392341896271,0.30724791026824705,0.10325652029470887,0.10325633524741695
0.0206,0.4913476214790865,0.30187114370695284,0.10339068743606729,0.10339054737789329
0.0207,0.4910330563494056,0.301846403688896,0.103560304052562,0.10356023590913645
0.020800000000000003,0.48537439049407866,0.30709720395240475,0.10376419897431434,0.10376420657920217
0.020900000000000002,0.4747405461955573,0.3172732463230203,0.10399305999996016,0.10399314748146266
0.021,0.45976287217995565,0.3317685323293825,0.10423421703111006,0.10423437845955177
0.0211,0.44129382904997383,0.3497521866631397,0.10447687959951006,0.10447710468737638
0.0212,0.42035482281394154,0.37021156286844725,0.10471667203646534,0.10471694228114581
0.0213,0.39807734671271305,0.39200593335382283,0.10495821304060204,0.10495850689286201
0.021400000000000002,0.37564122768019886,0.41392846675129147,0.10521500505984192,0.1052153005086677
0.021500000000000002,0.35421264635375804,0.4347729690053071,0.1055070576770125,0.10550732696392234
0.0216,0.3348859123159156,0.45340151949043517,0.10585616600837695,0.1058564021852723
0.0217,0.3186304231623593,0.46880863746638,0.10628037061346485,0.10628056875779583
0.0218,0.30624483017182114,0.480177515013105,0.10678874714491358,0.10678890767016043
0.0219,0.2983196148079749,0.48692424403562284,0.10737800773255836,0.10737813342384364
0.022000000000000002,0.2952096296825535,0.48872764790332257,0.10803131400619241,0.10803140840793159
